Date,Open,High,Low,Close,Volume,Diff
2015-03-12,1460000,1473000,1447000,1447000,365442,26000
2015-03-11,1419000,1479000,1418000,1474000,407194,61000
2015-03-10,1434000,1443000,1420000,1421000,174618,23000
2015-03-09,1440000,1440000,1420000,1420000,141407,20000
2015-03-06,1414000,1449000,1406000,1442000,234312,43000
2015-03-05,1439000,1443000,1417000,1422000,191913,26000
2015-03-04,1411000,1440000,1410000,1437000,231146,30000
2015-03-03,1435000,1437000,1406000,1418000,251018,31000
2015-03-02,1375000,1423000,1367000,1423000,425208,56000
2015-02-27,1375000,1376000,1357000,1357000,251997,19000
2015-02-26,1379000,1380000,1368000,1375000,145978,12000
2015-02-25,1380000,1385000,1373000,1379000,161395,12000
2015-02-24,1385000,1389000,1364000,1367000,190630,25000
2015-02-23,1378000,1390000,1366000,1367000,303059,24000
2015-02-17,1374000,1377000,1364000,1377000,109601,13000
2015-02-16,1368000,1374000,1361000,1374000,122448,13000
2015-02-13,1360000,1361000,1345000,1361000,129733,16000
2015-02-12,1340000,1358000,1331000,1344000,211969,27000
2015-02-11,1374000,1374000,1354000,1355000,195578,20000
2015-02-10,1400000,1400000,1377000,1378000,130122,23000
2015-02-09,1360000,1399000,1357000,1395000,173539,42000
2015-02-06,1346000,1374000,1336000,1372000,154037,38000
2015-02-05,1359000,1369000,1346000,1358000,127415,23000
2015-02-04,1375000,1381000,1359000,1359000,185927,22000
2015-02-03,1380000,1380000,1359000,1366000,113050,21000
2015-02-02,1365000,1377000,1356000,1368000,197682,21000
2015-01-30,1360000,1377000,1360000,1365000,290431,17000
2015-01-29,1368000,1395000,1357000,1360000,253794,38000
2015-01-28,1386000,1390000,1374000,1378000,181784,16000
2015-01-27,1375000,1400000,1374000,1400000,198957,26000
2015-01-26,1375000,1395000,1364000,1389000,202924,31000
2015-01-23,1400000,1400000,1377000,1386000,254907,23000
2015-01-22,1398000,1399000,1378000,1378000,321030,21000
2015-01-21,1367000,1395000,1360000,1395000,296517,35000
2015-01-20,1350000,1372000,1345000,1372000,263665,27000
2015-01-19,1329000,1349000,1320000,1343000,132117,29000
2015-01-16,1334000,1334000,1313000,1316000,265856,21000
2015-01-15,1345000,1349000,1329000,1334000,246886,20000
2015-01-14,1339000,1355000,1335000,1345000,283081,20000
2015-01-13,1314000,1340000,1300000,1339000,240620,40000
2015-01-12,1313000,1319000,1301000,1316000,154351,18000
2015-01-09,1314000,1322000,1314000,1314000,166024,8000
2015-01-08,1339000,1339000,1310000,1314000,248432,29000
2015-01-07,1294000,1311000,1282000,1307000,283314,29000
2015-01-06,1315000,1317000,1288000,1295000,304365,29000
2015-01-05,1336000,1336000,1313000,1333000,201983,23000
2015-01-02,1340000,1340000,1327000,1330000,159886,13000
2014-12-30,1330000,1335000,1321000,1327000,211811,14000
2014-12-29,1345000,1347000,1329000,1329000,192508,18000
2014-12-26,1343000,1355000,1343000,1352000,226092,12000
2014-12-24,1339000,1343000,1339000,1343000,114026,4000
2014-12-23,1346000,1349000,1337000,1339000,213719,12000
2014-12-22,1345000,1347000,1318000,1345000,345741,29000
2014-12-19,1294000,1328000,1287000,1328000,292899,41000
2014-12-18,1266000,1279000,1252000,1266000,234196,27000
2014-12-17,1279000,1283000,1253000,1266000,250041,30000
2014-12-16,1270000,1289000,1268000,1279000,253907,21000
2014-12-15,1280000,1280000,1260000,1273000,284495,20000
2014-12-12,1303000,1304000,1274000,1286000,286304,30000
2014-12-11,1317000,1319000,1294000,1305000,401712,25000
2014-12-10,1346000,1346000,1317000,1317000,304944,29000
2014-12-09,1319000,1357000,1319000,1349000,269539,38000
2014-12-08,1303000,1321000,1302000,1319000,157879,19000
